0	1	2	3	4	5	6
59.0	324.0	41.8	97.0	86.0	90.0	9.199999809
60.0	271.0	2.6	31.0	90.0	96.0	5.8
57.0	308.0	13.5	316.0	58.0	90.0	9.6
59.0	558.0	13.7	46.4	81.0	84.0	9.699999809
56.0	568.0	33.4	47.0	73.0	70.0	9.3
55.0	710.0	59.0	73.0	67.0	90.0	10.19999981
52.0	2570.0	137.0	22.0	24.0	90.0	8.399999619
57.0	739.0	124.6	157.0	85.0	60.0	7.7
59.0	200.0	2.8	131.0	0.0	20.0	13.7
59.0	179.0	1.0	60.0	0.0	32.0	9.2
45.0	644.0	5.71	89.0	85.0	90.0	10.30000019
22.0	890.0	86.7	56.0		80.0	6.9
57.0	257.0	37.0	29.0	20.0	80.0	7.7
55.0	441.0	18.4	19.0	10.0	90.0	7.8
61.0	639.0	30.0	330.0	61.0	80.0	7.5
44.0	1004.0	69.4	26.0	65.0	73.0	8.5
40.0	972.0	6.0	30.0	63.0	84.0	7.8
48.0	410.0	7.4	249.0	41.0	80.0	5.400000095
51.0	759.0	13.0	15.0	63.0	80.0	8.5
63.0	605.0	69.0	28.0	73.0	95.0	7.0
58.0	547.0	74.7	38.0	5.0	50.0	8.4
56.0	225.0	1.47	52.0	23.0	2.0	11.30000019
50.0	367.0	16.1	64.0	36.0	75.0	7.7
42.0	689.0	121.6	25.0	46.0	90.0	8.4
50.0	218.0	1.2	177.0	0.0	75.0	12.6
51.0	232.0	2.5	53.0	31.0	50.0	9.1
60.0	1112.0	76.7	63.0	72.0	90.0	6.9
59.0	367.0	32.0	13.0	86.0	86.0	5.400000095
50.0	176.0	4.07	45.0	37.0	70.0	6.300000191
58.0	1698.0	128.9	41.0	21.0		8.1
19.0	1069.0	150.8	43.0	89.0	90.0	6.1
43.0	1480.0	56.11	24.0	96.0	85.0	7.300000191
52.0	283.0	17.6	15.0	90.0	85.0	8.3
49.0	1941.0	111.8	27.0	89.0	90.0	7.5
61.0	865.0				95.0	
56.0	858.0	120.6	247.0	10.0	30.0	7.099999905
40.0	802.0	74.5	31.0	77.0	80.0	7.9
53.0	340.0	2.4	300.0	3.0	40.0	8.3
34.0	449.0	26.4	52.0	98.0	40.0	6.599999905
51.0	650.0	10.0	22.0	58.0	73.0	11.5
38.0	164.0	2.4	54.0		50.0	13.60000038
35.0	456.0	8.2	26.0	63.0	70.0	7.6
28.0	755.0	94.2	63.0	76.0	60.0	7.6
56.0	485.0	53.2	176.0	8.0	23.0	10.9
34.0	325.0	5.7	50.0	10.0	52.0	8.0
45.0	469.0	17.3	43.0	39.0	90.0	5.8
49.0	874.0	2.0	24.0	46.0	90.0	12.5
41.0	582.0	30.2	39.0	78.0	70.0	7.5
48.0	159.0	2.9	111.0	29.0	90.0	10.4
59.0	486.0	22.6	52.0	80.0	80.0	7.400000095
48.0	205.0	5.45	23.0	46.0	85.0	6.599999905
61.0	245.0	0.9	20.0	4.0	25.0	9.9
40.0	1028.0	10.8	25.0	8.0		8.800000191
38.0	375.0	24.3	249.0	26.0	61.0	10.89999962
52.0	331.0	49.0	32.0	67.0	65.0	7.0
58.0	1744.0	151.8	20.0	67.0	95.0	6.2
34.0	1344.0	1.1	191.0	79.0	50.0	9.0
60.0	305.0	3.4	128.0	53.0	70.0	9.8
57.0	500.0	106.8	35.0	87.0	80.0	7.5
46.0	917.0	13.6	73.0	40.0	39.0	8.600000381
51.0	2011.0	58.2	16.0	90.0	80.0	12.8
51.0	476.0	25.8	55.0	98.0	75.0	11.19999981
35.0	298.0	46.8	27.0	55.0	55.0	8.100000381
34.0	410.0	14.7	28.0	6.0	82.0	9.3
60.0	385.0	2.0	25.0	6.0	60.0	8.4
49.0	162.0	36.2	289.0	4.0	49.0	7.6
43.0	659.0	42.7	107.0	24.0	24.0	7.300000191
48.0	781.0	24.4	30.0	94.0	98.0	10.0
62.0	174.0	0.87	161.0		40.0	11.0
60.0	167.0	1.54	15.0	20.0	80.0	9.199999809
50.0	522.0	21.8	141.0	44.0	88.0	6.4
60.0	180.0	1.7	125.0	20.0	85.0	9.4
39.0	344.0	3.9	45.0	27.0	70.0	10.2
